id,act_arq,lang_cobol,db_elastic,db_firestore,ben_loan,cert_gweb,cert_itilint,ben_flexhours,lang_python,remote,db_firebasert,cert_pmp,experience,ben_gym,dsc_rapidminer,act_bi,act_dba,ben_housing,cert_testing1,act_infosec,lang_csharp,ben_gas,ben_car,profile,front_xamarin,db_sap,cert_itilpra,act_dir,act_req,cert_sixsigma,db_neo4j,ben_edu,infra_chef,gender,infra_vmware,db_cassandra,db_cosmos,dsc_sas,lang_perl,act_test,ben_lifeins,cert_sap,cert_linux,db_mysql,ben_bonus,ben_healthminor,age,cert_java,lang_delphi,db_oracle,lang_clang,seniority,db_dynamo,lang_php,dsc_h2o,lang_scala,infra_ansible,dsc_alteryx,cert_android,lang_rust,act_prog,infra_oshift,act_soporte,cert_awsdev,cert_infosec,cert_entarch,dsc_watson,ben_homeoffice,lang_vbnet,ben_healthmajor,ben_family,act_spi,edutype,dsc_knime,act_doc,dsc_tf,ben_cafeteria,infra_docker,act_techsales,cert_oracle,act_pm,cert_testing2,infra_ostack,cert_ba,db_pgsql,infra_puppet,act_cons,infra_terraform,english_num,ben_vouchers,cert_gcloudarch,lang_elixir,act_cap,cert_awsarch,act_erp,lang_go,orgtype,cert_cisco,cert_scrum,db_DB2,cert_cgeit,lang_bash,dsc_azureml,dsc_domino,emptype,lang_plsql,lang_groovy,act_front,lang_java,lang_ruby,act_uxd,cert_agile,cert_cobit,lang_swift,act_techwrite,lang_js,dsc_dataiku,cert_gdata,front_angular,lang_kotlin,db_sqlserver,act_ventas,ben_parking,education,front_react,ben_equity,db_redis,cert_msexp,ben_cellphone,infra_k8s,cert_msass,front_vue,db_mongoDB,salarymx_range
2685,Y,,,,,,,,,N,,,1,,,,Y,,,,,,,independiente,,,,,Y,,,,,hombre,,,,,,,,,,Y,,,23,,,,,1,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,freelance,,,,,,,,emprendedor,,,,,,,,,,,,,,,,Y,,,universidad,,,,,,,,,,"(0, 10000]"
2686,,,,,,,,,,N,,,12,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,,,,,Y,,38,,,,,5,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,3,Y,,,,,Y,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,,,,,,,,,"(30000, 40000]"
2688,,,,,Y,,,,,N,,,25,,,,Y,,,Y,,,,godin,,,,,,,,Y,,hombre,,,,,,,Y,,Y,Y,,,45,,,,,14,,,,,,,,,,,,,,,,,,Y,,,escuela,,,,,,,,,,,,Y,,,,3,Y,,,Y,,,,uni,,,,,,,,nomina,,,,,,,,,,,,,,,,Y,,Y,maestria,,,,,,,,,,"(40000, 50000]"
2689,Y,,,,,,,Y,,Y,,,8,,,,,,,,,,,independiente,,,,,,,,,,hombre,,,,,,,,,,,,,34,,,,,1,,,,,,,,,Y,,,,,,,Y,,,,,autodidacta,,,,,,,,,,,,,,,,3,,,,,,,,itservices,,,,,,,,honorarios,,,Y,,Y,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(90000, 100000]"
2690,,,,,,,,Y,,N,,,0,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,24,,,,,0,,,,,,,,,,,,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,isv,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,pasante,,,,,,,,Y,,"(0, 10000]"
2691,,,,,,,,Y,Y,N,,,5,,,,,,,,,,,godin,,,,,,,,Y,,hombre,,,,,,,Y,,,,,,27,,,,,4,,,,Y,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,4,,,,,,,,itservices,,,,,,,,hibrido,,,Y,,,,,,,,Y,,,,,,,,universidad,Y,,,,,,,,,"(20000, 30000]"
2692,Y,,,,,,,Y,,N,,,3,,,,,,,,Y,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,30,,,,,1,,,,,,,,,Y,,,,,,,,,Y,,,trabajo,,,,,,,,,,,,,,,,2,,,,,,,,itservices,,,,,,,,hibrido,Y,,Y,,,,,,,,Y,,,Y,,,,,universidad,,,,,,,,,,"(10000, 20000]"
2693,,,,,,,,,,N,,,5,,,,Y,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,Y,,,,32,,,,,5,,Y,,,,,,,Y,,,,,,,,Y,Y,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,gobierno,Y,,,,,,,nomina,,,Y,,,,,,,,Y,,,Y,,,,,universidad,,,,Y,,,,,,"(20000, 30000]"
2694,Y,,,,,,,,,N,,,2,,,,Y,,,,Y,,,godin,,,,,,,,Y,,hombre,,,,,,,Y,,,Y,,,25,,,,,2,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,escuela,,,,Y,,,,,,,,,,,,2,,,,,,,,gobierno,,,,,,,,hibrido,,,,,,,,,,,Y,,,,,Y,,,universidad,,,,Y,,,Y,,,"(20000, 30000]"
2695,,,,,Y,,,Y,,N,,,8,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,Y,,,,,Y,33,Y,,,,1,,,,,,,,,Y,,,,,,,,,Y,,,escuela,,,,,,,,,,,,,,,,2,Y,,,,,,,itservices,,Y,,,,,,nomina,,,,Y,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(30000, 40000]"
2696,,,,,Y,,,,,N,,,8,,,,Y,Y,,,Y,,,godin,,,,,,,,,,hombre,,,,,,,,,,Y,,Y,30,,,,,4,,,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,1,,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,Y,,,,,,,Y,,,universidad,,,,,,,,Y,,"(20000, 30000]"
2697,Y,,,,,,,Y,,Y,,,5,,,,,,,,,,,godin,,,,,Y,,,Y,,hombre,,,,,,,Y,,,,Y,Y,28,,,,,3,,,,,Y,,,,,,,,,,,Y,,Y,,,escuela,,,,,Y,,,,,,,,,,Y,4,,,,,,,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,Y,,,,,,,,"(130000, 140000]"
2698,,,,,,,,Y,,Y,,Y,7,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,29,,,,,1,,,,,,,,,,,,,,,,Y,,,,Y,escuela,,,,,,,,Y,,,,,,,,3,,,,Y,,,,startup,,Y,,,,,,honorarios,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(60000, 70000]"
2699,,,,,Y,,,,,N,,,3,Y,,,Y,,,,Y,,,godin,Y,,,,,,,,,hombre,,,,,,,,,,,Y,,29,,,,,2,,,,,,,,,Y,,,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,1,,,,,,,,corp,,,,,,,,nomina,Y,,Y,,,,,,,,Y,,,,,Y,,,universidad,,,,,,,,,,"(10000, 20000]"
2700,,,,,,,,Y,,Y,,,5,,,,,,,,Y,,,godin,,,,,Y,,,,,hombre,,,,,,,Y,,,,,Y,27,,,,,1,,,,,,,,,Y,,,,,,,,,Y,,,escuela,,,,,,,,,,,,,,,,3,Y,,,,,,,isv,,,,,,,,nomina,,,Y,,,,,,,,Y,,,Y,,,,,universidad,,,,,,,,,,"(40000, 50000]"
2701,,,,,,,,,,N,,Y,20,,,,,,,,,,,directivo,,,,,,,,,,hombre,,,,,,,,,,,,,44,,,,,2,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,Y,,,,,,Y,,2,Y,,,,,,,gobierno,,Y,,,,,,nomina,,,,,,,,Y,,,,,,,,,,Y,maestria,,,,,,,,,,"(60000, 70000]"
2702,,,,,Y,,,Y,,N,,,35,,,,,,,,,,,directivo,,,,Y,Y,,,,,hombre,,,,,,,,,,,Y,Y,50,,,,,24,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,Y,,,,,,,,4,,,,,,,,isv,,Y,,,,,,nomina,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(110000, 120000]"
2703,Y,,,,,,,,,N,,Y,15,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,,,Y,,Y,,41,Y,,,,1,,,,,,,Y,,,,,Y,,,,Y,,,,,trabajo,,,,,,,,,,,,,,,,3,,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,Y,,,,,,,,,,,,universidad,,,,,,,,Y,,"(20000, 30000]"
2704,,,,,,,,,,N,,,8,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,32,,,,,1,,,,,,,,,Y,,,,,,,,,,,,autodidacta,,,,,,,,,,,,,,,,1,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,Y,,,,,,,,,,Y,,,,,universidad,,,,,,,,,,"(20000, 30000]"
2705,,,,,Y,,,Y,,N,,,7,,,,,,,,Y,,,godin,Y,,,,Y,,,,,hombre,,,,,,,,,,,,,35,,,,,4,,,,,,,,,Y,,,,,,,Y,,,,,trabajo,,,,,,,,,,,,,,,,2,,,,,,,,corp,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(20000, 30000]"
2706,,,,,,,,,,N,,,11,Y,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,,,,,,,36,,,,,3,,,,,,,,,Y,,,,,,,,,Y,,,trabajo,,,,,,,,,,,,,,,,2,Y,,,,,,,itservices,,,,,,,,hibrido,Y,,Y,Y,,,,,,Y,Y,,,,,,,,pasante,,,,,,,,,,"(30000, 40000]"
2707,,,,,Y,,,,Y,Y,,,8,Y,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,Y,,32,,,,,2,,,,,,,,,Y,,,,,,,,,Y,,,autodidacta,,,,Y,,,,,,,,,,,,3,Y,,,,,,,corp,,,,,,,,nomina,,,Y,Y,,,,,,Y,Y,,,Y,,,,Y,pasante,,,,,,,,,,"(30000, 40000]"
2708,,,,,Y,,,,,N,,,4,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,,24,,,,,1,,Y,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,universidad,,,,,,,,Y,,"(10000, 20000]"
2709,,,,,Y,,,Y,,N,,,25,,,,Y,,,,,,,docente,,,,,,,,,,mujer,,,,,,,,,,Y,Y,,53,,,,,24,,,,,,,,,,,,,,,,,,,,Y,escuela,,Y,,,,,,,,,,,,,,2,Y,,,,,,,uni,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(30000, 40000]"
2710,,,,,Y,,,Y,Y,N,,,5,,,,,,,,Y,,,godin,,,,,Y,,,Y,,hombre,,,,,,,,,,,,,28,,,,,2,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,isv,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,universidad,Y,,,,,,,,,"(40000, 50000]"
2711,,,,,,,,,,N,,,5,,,,Y,,,,Y,,,godin,,,,,,,,,,hombre,,,,,,,,,,Y,,,28,,,,,3,,,,,,,,,Y,,,,,,,,,,,,online,,,,,,,,,,,,Y,,,,2,,,,,,,,gobierno,,,,,,,,honorarios,Y,,Y,,,,,,,,Y,,,,,Y,,,universidad,Y,,,,,,,,,"(0, 10000]"
2713,Y,,,,Y,,Y,Y,,N,,Y,25,Y,,,,,,,,,,godin,,,Y,,Y,Y,,,,hombre,Y,,,,,,Y,,Y,,Y,Y,47,,,,,8,,,,,,,,,,Y,,,,,,Y,,Y,,,trabajo,,,,Y,,,Y,,,Y,,,,,,3,Y,,,,Y,,,itservices,,Y,,,,,,nomina,,,,,,,Y,,,,,,,,,,,Y,posgrado,,,,,Y,,,,,"(50000, 60000]"
2714,,,,,,,,Y,,N,,,0,,,,,,,,,,,estudiante,,,,,Y,,,,,hombre,,,,,,,,,,,,,20,,,,,0,,Y,,,,,,,Y,,,,,,,,,,,,online,,,,,,,,,,,,,,,,3,,,,,,,,itservices,,,,,,,,becario,,,Y,,,,,,,,Y,,,,,,,,pasante,,,,,,,,Y,,"(0, 10000]"
2715,Y,,,,,,,Y,Y,Y,,,15,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,Y,,,,,,37,,,,,2,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,4,Y,,,,,,,itservices,,,,,,,,nomina,,,,Y,,,,,,,,,,,,,,Y,universidad,,,,,,,,,,"(70000, 80000]"
2716,,,,,,,,Y,,N,,,4,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,,,,,,,26,,,,,1,,,,,,,,,Y,,,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,3,,,Y,,,,,corp,,,,,,,,nomina,,,,,Y,,,,,,,,,,,,,,universidad,,,,,,,,,,"(50000, 60000]"
2717,,,,,Y,,,,,N,,,3,,,,,,,Y,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,,27,,,,,2,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,Y,,1,Y,,,,,,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(10000, 20000]"
2718,Y,,,,,,,,,N,,,20,,,,,,,,,,,godin,,,,Y,,Y,,,,hombre,,,,,,,,,,,,,39,,,,,1,,,,,,,,,,,,,,,,Y,,Y,,,autodidacta,,,,,,,,,,,,,,,,2,,,,,,,,itservices,,Y,,,,,,hibrido,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(60000, 70000]"
2719,,,,,,,,,,N,,,15,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,,,,,,,38,,,,,4,,,,,,,,,,,Y,,,,,,,,,,autodidacta,,,,,,,,,,,,,,,,2,,,,,,,,itservices,,,,,,,,nomina,,,,,,,,,,Y,,,,,,,,,universidad,,,,,,,,,,"(10000, 20000]"
2720,,,,,,,,Y,,N,,,9,,,,,,,,Y,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,36,Y,,,,5,,,,,,,,,Y,,Y,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,2,Y,,,,,,,isv,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,universidad,,,,,,,,Y,,"(10000, 20000]"
2721,Y,,,,Y,,,Y,,N,,,15,,,,,,,,,,,otro,,,,,,,,,,hombre,,,,,,,Y,,,,Y,Y,39,,,,,4,,,,,,,,,,,,,,,,Y,,Y,,,autodidacta,,,,,,Y,,Y,,,,,,,,2,Y,,,,,,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,,Y,maestria,,,,,,,,,,"(100000, 110000]"
2722,,,,,,,,,,N,,,19,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,42,,,,,7,,,,,,,,,,,,,,,,,,,,,online,,,,,,,,,,,,,,,,0,,,,,,,,itservices,,,,,,,,honorarios,,,,,,Y,,,,,,,,,,,,,universidad,,,,,,,,,,"(20000, 30000]"
2723,,,,,,,,,Y,N,,,19,,,,,,,,,,,docente,,,,,,,,,,hombre,,,,,,,,,,,,,41,,,,,17,,Y,,,,,,,Y,,,,,,,,,,,,escuela,,Y,,,,,,,,,,,,,,3,Y,,,,,,,uni,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,phd,,,,,,,Y,,,"(10000, 20000]"
2724,,,,,,,,,,N,,,26,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,,47,,,,,4,,Y,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,Y,,,,,,,,4,Y,,,Y,,,,startup,,,,,,,,nomina,Y,,,Y,,,,,,,,,,,,,,Y,universidad,,Y,,,,,,,,"(240000, 250000]"
2725,,,,,,,,,,Y,,,9,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,Y,31,,,,,1,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,4,,,,,,,,itservices,,,,,,,,nomina,,,Y,Y,,,,,,Y,Y,,,,,,,,maestria,Y,,,,,,,,,"(50000, 60000]"
2726,,,,,,,,Y,,N,,,25,,,,,,,Y,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,50,,,,,20,,Y,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,uni,,,,,,,,nomina,Y,,Y,,,,,,,,Y,,,Y,,,,,maestria,Y,,,,,,,,,"(10000, 20000]"
2727,,,,,Y,,,Y,,N,,,5,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,30,,,,,2,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,Y,,,,,,,,4,Y,,,,,,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,Y,pasante,,,,,,,,,,"(40000, 50000]"
2728,,,,,Y,,,,,N,,,20,,,,,,,,,,,godin,,,,,Y,Y,,,,hombre,,,,,,,,,,,,,45,,,,,1,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,Y,,,,,,,,3,,,,,,Y,,corp,,Y,,,,,,nomina,,,,,,,Y,,,,,,,,,,,,maestria,,,,,,,,,,"(50000, 60000]"
2729,,,,,,,Y,Y,,N,,,32,Y,,,,,,,,Y,Y,otro,,,,Y,,,,Y,,hombre,,,,,,,Y,,,,Y,Y,50,,,,,25,,,,,,,,,,,,,Y,,,Y,,Y,,,autodidacta,,,,Y,,,,Y,,,Y,,,Y,,3,Y,,,,,,,freelance,,,,,,,,emprendedor,,,,,,,,,,,,,,,,,,,maestria,,,,Y,Y,,,,,"(70000, 80000]"
2730,,,,,Y,,,,,N,,,9,,,,,,,,,,,godin,,,,,Y,,,,,mujer,,,,,,Y,,,,,,,35,,,,,3,,,,,,,,,,,,,,,,,,Y,,,escuela,,,,,,,,,Y,,,,,,,1,Y,,,,,,,corp,,Y,,,,,,nomina,,,,,,,Y,,,Y,,,,,,,,,pasante,,,,,,,,,,"(10000, 20000]"
2731,Y,,,,,,,Y,,N,,,14,,,,,,,,,,,docente,,,,,,,,,,mujer,,,,,,,,,,,,,39,,,,,13,,,,,,,,,,,,,,,,,,,Y,,escuela,,Y,,,,,,,,,,,,,,2,,,,Y,,,,uni,,Y,,,,,,nomina,,,,,,,Y,,,,,,,,,,,,maestria,,,,,,,,,,"(10000, 20000]"
2732,,,,,Y,,,,,N,,,5,Y,,,,,,,Y,,,godin,Y,,,,Y,,,,,hombre,,,,,,,,,,,Y,,30,,,,,1,,,,,,,,,Y,,,,,,,Y,,,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,corp,,,,,,,,nomina,Y,,Y,,,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(30000, 40000]"
2733,,,,,,,,,,Y,,,4,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,Y,24,,,,,1,,,,,,,,Y,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,2,,,,,,,,itservices,,,,,,,,hibrido,,,Y,,,,,,,Y,Y,,,,,,,,universidad,Y,,,,,,,Y,,"(30000, 40000]"
2734,Y,,,,,,,Y,,N,,,5,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,Y,,,,,,,27,,,,,5,,,,,,,,,,,,,,,,,,,,,trabajo,,,,,,,,,,,,,,,,3,,,,,,,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,,,,,,,,,"(0, 10000]"
2735,,,,,,,,Y,,Y,,,14,,,,,,,,,,,independiente,,,,,,,,,,mujer,,,,,,,,,,,,,37,,,,,2,,Y,,,,,,,Y,,Y,,,,,Y,,,,,autodidacta,,,,,,,,,,,,,,,,4,,,,,,,,isv,,,,,Y,,,freelance,,,Y,,,,,,,,Y,,,,,,,,maestria,,,,,,,,Y,,"(120000, 130000]"
2736,,,,,Y,,,,,N,,,18,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,38,,,,,12,,,,,,,,,,,,,,,,,,,,Y,escuela,,,,,,,,Y,,,,,,,,1,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,maestria,,,,,Y,,,,,"(30000, 40000]"
2737,,,,,,,,,,N,,,5,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,Y,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,Y,,,,,,,isv,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,universidad,Y,,,,,,,Y,,"(20000, 30000]"
2738,,,,,,,,Y,,N,,,6,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,Y,,,,,,,29,,,,,2,,,,,,,,,,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,2,,,,Y,,,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,,,,Y,,,,,"(0, 10000]"
2739,,,,,,,,,,N,,,5,,,,,,,,,,,godin,,,,,,,,Y,,hombre,,,,,,,Y,,,,,,29,,,,,0,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,5,Y,,,,,,,corp,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,universidad,,,,,,,,,,
2740,,,,,,,,Y,,N,,,3,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,Y,,,,,Y,35,,,,,2,,,,,,,,,,,,,,,,Y,,,,,autodidacta,,,Y,,,,,,,,,,,,,4,,,,,,,,gobierno,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,pasante,Y,,,,,,,Y,,"(10000, 20000]"
2741,Y,,,,,,,,,N,,,15,Y,,,,,,,,,,otro,,,,,,,,Y,,hombre,,,,,,,Y,,,,,Y,38,,,,,2,,Y,,,,,,,Y,,,,Y,,,Y,,,Y,,online,,,,Y,,,,,,,,,,,,2,,,,,,,,gobierno,,,,,Y,,,hibrido,,,Y,,,,,,,,Y,,,,,,,,pasante,,,,,,,,,,"(20000, 30000]"
